BlFract,AeroCent,StrcTwst,BMassDen,FlpStff,EdgStff,GJStff,EAStff,NFoil,Chord
0,0.25,11.1,3708.411647,63720689412,63720689412,22057695578,42582928811,1,3.456438913
0.021052632,0.25,11.1,622.3231717,14036801422,14036801422,4904988079,9469182296,1,3.456438913
0.052631579,0.229430933,11.1,632.6693994,12397882204,13799265880,4111707386,9414556191,1,3.733680467
0.105263158,0.201189765,11.1,649.9131123,9666350175,13403373311,2789572898,9323512681,2,4.195749725
0.157894737,0.17855181,11.1,667.1568251,6934818145,13007480742,1467438410,9232469172,2,4.657818982
0.210526316,0.16,11.1,684.400538,4203286116,12611588173,145303921.8,9141425662,2,5.11988824
0.263157895,0.164825515,9.5,650.7744883,3566082052,10597335191,127815352.7,8692878361,2,4.881026162
0.315789474,0.170147624,7.9,617.1484387,2928877989,8583082208,110326783.5,8244331061,2,4.642164084
0.368421053,0.176047139,6.3,583.522389,2291673925,6568829226,92838214.39,7795783760,2,4.403302007
0.421052632,0.182623419,4.7,549.8963394,1654469861,4554576243,75349645.24,7347236459,2,4.164439929
0.473684211,0.19,3.1,516.2702897,1017265797,2540323261,57861076.09,6898689158,2,3.925577851
0.526315789,0.194445042,2.6,458.0476733,845657415,2154341470,48609907.72,6100410163,3,3.686715773
0.578947368,0.199505975,2.1,399.8250569,674049032.6,1768359679,39358739.34,5302131168,3,3.447853696
0.631578947,0.205320331,1.6,341.6024405,502440650.3,1382377887,30107570.96,4503852173,3,3.208991618
0.684210526,0.212069886,1.1,283.3798242,330832267.9,996396096.2,20856402.59,3705573178,3,2.97012954
0.736842105,0.22,0.6,225.1572078,159223885.6,610414305,11605234.21,2907294183,3,2.731267463
0.789473684,0.223950014,0.48,184.522982,127691063.6,499056317.9,9531690.687,2372978143,3,2.516332233
0.842105263,0.228637839,0.36,143.8887563,96158241.55,387698330.8,7458147.161,1838662103,3,2.301397003
0.894736842,0.234291488,0.24,103.2545306,64625419.55,276340343.8,5384603.634,1304346063,4,2.086461773
0.947368421,0.241243723,0.12,62.62030488,33092597.54,164982356.7,3311060.108,770030023.5,4,1.871526543
1,0.25,0,21.98607916,1559775.537,53624369.65,1237516.581,235713983.6,4,1.656591313
