-180,-0.17,0.02
-170,0.64,0.05
-160,0.84,0.31
-150,1.08,0.62
-140,1.15,0.96
-130,1.09,1.3
-120,0.88,1.52
-110,0.6,1.66
-100,0.31,1.76
-90,0,1.8
-80,-0.31,1.76
-70,-0.6,1.66
-60,-0.88,1.52
-50,-1.09,1.3
-40,-1.15,0.96
-30,-1.08,0.62
-20,-0.84,0.31
-10,-0.64,0.0144
-8,-0.48,0.0124
-6,0.06,0.0092
-5,0.17,0.0082
-4,0.28,0.0067
-3,0.39,0.0068
-2,0.5,0.0069
-1,0.6,0.007
0,0.71,0.0072
1,0.82,0.0074
2,0.93,0.0076
3,1.04,0.0078
4,1.14,0.0082
5,1.25,0.0087
6,1.35,0.0104
7,1.44,0.0146
8,1.53,0.0184
9,1.63,0.02
10,1.63,0.0219
11,1.63,0.0239
12,1.63,0.0262
13,1.63,0.0288
14,1.63,0.0316
15,1.63,0.052
30,1.08,0.62
40,1.15,0.96
50,1.09,1.3
60,0.88,1.52
70,0.6,1.66
80,0.31,1.76
90,0,1.8
100,-0.31,1.76
110,-0.6,1.66
120,-0.88,1.52
130,-1.09,1.3
140,-1.15,0.96
150,-1.08,0.62
160,-0.84,0.31
170,-0.64,0.05
180,-0.17,0.02
